,date,code,open,high,low,close,volume,amount
112,2016/11/17,sh.600519,312.08,313,310.53,311.04,1833776,570642080
113,2016/11/18,sh.600519,311.16,311.8,309.88,310,1937769,601883504
114,2016/11/21,sh.600519,311.02,311.66,308.37,309.5,2608384,807014528
115,2016/11/22,sh.600519,310.3,310.45,308.37,308.87,2642427,816561744
116,2016/11/23,sh.600519,311,313,309.11,312.95,3401504,1058266304
117,2016/11/24,sh.600519,313.2,317,311.42,316.93,3907870,1227937712
118,2016/11/25,sh.600519,317.04,318,313.42,316.89,2236967,706042464
119,2016/11/28,sh.600519,317.55,320.18,316.6,319.5,4925301,1568882896
120,2016/11/29,sh.600519,320.7,330.45,319.41,323.96,5883062,1911874432
121,2016/11/30,sh.600519,321.22,323.3,318.45,319.08,2675237,855564592
122,2016/12/1,sh.600519,320,324.59,318.68,321.02,2794182,896065024
123,2016/12/2,sh.600519,321,323.2,319,321.77,3062833,984836864
124,2016/12/5,sh.600519,319.2,324.54,315.82,315.93,4206081,1342647360
125,2016/12/6,sh.600519,316.23,326.58,316.23,326.42,3892309,1251764480
126,2016/12/7,sh.600519,327.12,328.5,323.97,327.45,2527174,825849248
127,2016/12/8,sh.600519,328.01,340,327,337.71,5447578,1825332448
128,2016/12/9,sh.600519,337.2,339.42,334.02,337.76,3449559,1162079792
129,2016/12/12,sh.600519,337.7,340,325.7,326.86,5033244,1667557008
130,2016/12/13,sh.600519,326.84,335,325.5,333.01,4178000,1384533792
131,2016/12/14,sh.600519,333,334.07,328.5,332.27,3202902,1062697136
132,2016/12/15,sh.600519,332.46,332.99,325.58,328.05,3920275,1285279904
133,2016/12/16,sh.600519,327,329.88,323.58,327.58,2505126,818412416
134,2016/12/19,sh.600519,326,334.37,325.61,325.96,3047187,1002365472
135,2016/12/20,sh.600519,326.04,327,321.81,326.48,3083159,1001345152
136,2016/12/21,sh.600519,326.9,329.29,323.56,328.66,2471124,807548096
137,2016/12/22,sh.600519,328,328.46,324.88,325.2,1467813,478750704
138,2016/12/23,sh.600519,323.55,324.5,319.13,320.03,3109555,1001068080
139,2016/12/26,sh.600519,319.03,324.99,316.2,324.48,2600143,835811088
140,2016/12/27,sh.600519,324.51,328.8,323.5,326.16,2006229,655887936
141,2016/12/28,sh.600519,326.99,328,323.33,323.72,1787811,581648976
142,2016/12/29,sh.600519,324,327.87,323,327.31,2122512,690986080
143,2016/12/30,sh.600519,326.61,335.29,326.61,334.15,3468767,1152982240
144,2017/1/3,sh.600519,334.28,337,332.81,334.56,2076389,695005296
145,2017/1/4,sh.600519,334.62,352.17,334.6,351.91,6525738,2245051872
146,2017/1/5,sh.600519,350,351.45,345.44,346.74,4170448,1449077680
