date,code,open,high,low,close,volume,amount
2018-09-28,sh.600519,726.7000,733.2000,718.8800,730.0000,3508980,2551115844.0000
2018-10-08,sh.600519,715.4100,719.0000,686.1500,686.1500,8274502,5798721501.0000
2018-10-09,sh.600519,686.9000,698.7100,685.9000,695.0000,4022283,2785526957.0000
2018-10-10,sh.600519,697.2600,698.0000,669.6900,670.9200,6309820,4288785948.0000
2018-10-11,sh.600519,635.0100,668.9400,635.0100,644.9900,9158196,5953169079.0000
2018-10-12,sh.600519,651.0000,672.6800,650.5800,668.0000,5447256,3599837217.0000
2018-10-15,sh.600519,669.4900,671.9500,660.0300,666.9000,3560730,2372056680.0000
2018-10-16,sh.600519,665.9800,679.5300,662.0100,667.1400,2639360,1766613793.0000
2018-10-17,sh.600519,675.0000,677.3000,649.9000,665.7200,4307707,2846537063.0000
2018-10-18,sh.600519,660.0000,660.0000,644.9700,645.9400,5215607,3394332712.0000
2018-10-19,sh.600519,638.0000,675.0000,635.0800,670.0000,7619938,4973381203.0000
2018-10-22,sh.600519,675.0000,702.0200,675.0000,693.0000,7310857,5036971569.0000
2018-10-23,sh.600519,689.0000,689.0000,635.0000,641.7400,12311273,8076618589.0000
2018-10-24,sh.600519,628.1100,650.0000,620.0000,636.9900,7611282,4818473584.0000
2018-10-25,sh.600519,620.0000,622.5000,608.5800,619.0000,7556838,4657019123.0000
2018-10-26,sh.600519,619.0000,625.0000,607.9800,610.1000,5532738,3388947805.0000
2018-10-29,sh.600519,549.0900,549.0900,549.0900,549.0900,4907600,2694714084.0000
2018-10-30,sh.600519,510.0000,543.0000,509.0200,524.0000,20439667,10663392394.0000
2018-10-31,sh.600519,527.0000,555.0000,522.0000,548.9000,9688482,5239853122.0000
2018-11-01,sh.600519,555.0000,585.5000,551.2500,563.0000,9810672,5581027253.0000
2018-11-02,sh.600519,585.0000,600.0000,572.2400,599.9000,8915696,5227695093.0000
2018-11-05,sh.600519,593.0000,593.0000,571.7700,575.8000,7551708,4373994135.0000
2018-11-06,sh.600519,574.0000,574.1600,558.0100,566.0000,4556614,2572068930.0000
2018-11-07,sh.600519,569.0000,574.9500,562.0100,566.4000,3810778,2165679706.0000
2018-11-08,sh.600519,574.0000,577.0000,568.0000,570.3400,3376374,1933594956.0000
2018-11-09,sh.600519,567.2200,569.0000,562.0000,562.0000,2433682,1374731688.0000
2018-11-12,sh.600519,553.0000,554.2000,536.8000,552.0000,6782422,3709848786.0000
2018-11-13,sh.600519,546.1200,570.0000,543.0000,570.0000,6642905,3695850099.0000
2018-11-14,sh.600519,569.9600,569.9600,552.5500,555.1000,4176683,2331999884.0000
2018-11-15,sh.600519,558.8000,564.8000,555.5000,559.7000,3083340,1728199015.0000
2018-11-16,sh.600519,561.0000,566.0000,558.0300,560.0000,2893879,1625453517.0000
2018-11-19,sh.600519,560.3000,572.0000,559.1100,569.0200,3617925,2052509531.0000
2018-11-20,sh.600519,565.0000,568.0000,560.0000,561.6000,2694326,1514353125.0000
2018-11-21,sh.600519,554.0000,568.9000,553.6800,564.7000,2710730,1527915052.0000
2018-11-22,sh.600519,565.1500,567.3300,558.0000,564.5000,2121333,1193347565.0000
2018-11-23,sh.600519,564.0000,567.3000,556.9000,556.9000,2012621,1126652921.0000
2018-11-26,sh.600519,558.0000,560.2000,552.0000,552.1100,1912019,1063536979.0000
2018-11-27,sh.600519,552.0000,554.9900,546.5000,548.1000,2023382,1112920631.0000
2018-11-28,sh.600519,550.8500,559.1900,545.5000,557.0000,2773793,1535544366.0000
2018-11-29,sh.600519,566.0300,569.8000,549.0100,551.6000,4506945,2524752310.0000
2018-11-30,sh.600519,557.0000,568.8900,553.0000,565.0000,4901046,2762808219.0000
2018-12-03,sh.600519,589.0000,605.0000,584.7700,601.2000,8341468,4964130146.0000
2018-12-04,sh.600519,602.9900,604.2600,595.0000,602.2300,3147388,1888148735.0000
2018-12-05,sh.600519,597.5000,616.5000,595.0000,610.1000,4158819,2523641849.0000
2018-12-06,sh.600519,600.0000,605.9800,590.3600,591.8000,3775807,2250440655.0000
2018-12-07,sh.600519,595.6000,598.8600,584.7000,587.0000,2684167,1583970320.0000
2018-12-10,sh.600519,576.0000,587.5000,574.1800,577.2300,2464068,1427993218.0000
2018-12-11,sh.600519,577.0000,586.5500,577.0000,582.9900,1631660,949962155.0000
2018-12-12,sh.600519,588.7900,589.2000,582.8000,589.0000,1992154,1168089518.0000
2018-12-13,sh.600519,590.0000,606.8800,589.6000,601.7500,4039941,2427823194.0000
2018-12-14,sh.600519,598.0100,599.8000,592.0000,592.9600,2455448,1461585126.0000
2018-12-17,sh.600519,592.5700,595.9700,585.0100,590.5200,2489585,1466942952.0000
2018-12-18,sh.600519,585.8800,591.5400,585.0000,590.9400,1922218,1130221286.0000
2018-12-19,sh.600519,589.0000,590.9900,576.0300,577.8000,2571596,1501321336.0000
2018-12-20,sh.600519,576.2200,581.5000,568.8900,574.5000,2694098,1549600760.0000
2018-12-21,sh.600519,571.0000,573.4500,562.2100,567.4100,3064043,1736537277.0000
2018-12-24,sh.600519,563.5000,570.9100,558.0000,568.0000,1910986,1080787424.0000
2018-12-25,sh.600519,562.2200,567.5000,553.6100,565.7900,2659286,1490157587.0000
2018-12-26,sh.600519,563.8100,568.4000,558.0000,560.0800,1786620,1005617678.0000
2018-12-27,sh.600519,570.0000,571.8500,562.2200,563.0000,2949357,1670211285.0000
2018-12-28,sh.600519,563.3000,596.4000,560.0000,590.0100,6367837,3705150490.0000
2019-01-02,sh.600519,609.9800,612.0000,595.0100,598.9800,6228649,3754387984.0000
2019-01-03,sh.600519,599.9700,601.6600,585.8000,590.0000,3097735,1838179174.0000
2019-01-04,sh.600519,587.2800,607.6700,582.0200,602.0000,3768347,2258501484.0000
2019-01-07,sh.600519,608.0000,612.0000,602.2200,605.4900,3475013,2105981461.0000
2019-01-08,sh.600519,605.5000,612.0000,600.2800,604.7900,2883813,1750413219.0000
2019-01-09,sh.600519,609.9900,626.1600,609.0400,616.1200,4989227,3084214779.0000
2019-01-10,sh.600519,617.1300,624.8800,610.2500,618.7700,2904390,1797683134.0000
2019-01-11,sh.600519,625.0000,637.0000,618.7500,635.8800,3888421,2445929483.0000
2019-01-14,sh.600519,633.0000,635.8900,621.5500,624.6000,2564890,1606308126.0000
2019-01-15,sh.600519,627.8600,661.5000,625.0000,659.9800,5576485,3613919068.0000
2019-01-16,sh.600519,658.0000,665.6500,653.6000,661.1000,4208364,2775103930.0000
2019-01-17,sh.600519,663.0000,669.7000,655.8000,659.2500,3028476,2004454115.0000
2019-01-18,sh.600519,665.0000,690.2000,661.5000,683.6100,6860918,4647515824.0000
2019-01-21,sh.600519,690.0000,698.8800,681.8800,686.9800,4705193,3242615722.0000
2019-01-22,sh.600519,686.0000,686.0000,665.2200,671.0000,4212221,2834735031.0000
2019-01-23,sh.600519,667.2200,674.5000,663.1300,665.6600,3362481,2247371221.0000
2019-01-24,sh.600519,670.3000,677.8300,664.6800,672.5000,2915527,1960227058.0000
2019-01-25,sh.600519,675.8800,684.9000,669.9300,679.7000,2898635,1966232090.0000
2019-01-28,sh.600519,684.0000,693.9800,676.0300,677.0000,3610287,2476277972.0000
2019-01-29,sh.600519,677.5000,688.0000,668.0000,685.0000,3034259,2069407513.0000
2019-01-30,sh.600519,684.9900,686.2200,676.0000,676.0000,2269996,1545353573.0000
2019-01-31,sh.600519,680.0000,689.6000,677.5600,689.6000,3669657,2515374970.0000
2019-02-01,sh.600519,697.0400,699.0000,689.6100,692.6700,3052062,2121326140.0000
2019-02-11,sh.600519,695.0000,729.5000,688.1800,725.3000,5814075,4143849806.0000
2019-02-12,sh.600519,723.0000,725.4900,715.2000,717.9200,3509143,2521840124.0000
2019-02-13,sh.600519,723.0000,736.1600,717.2200,735.2500,3567706,2589623528.0000
2019-02-14,sh.600519,731.2000,743.6600,730.1400,737.1600,3225813,2375987077.0000
2019-02-15,sh.600519,734.8800,734.8800,723.0200,724.7800,2323798,1691515518.0000
2019-02-18,sh.600519,731.0000,744.9500,731.0000,740.0000,3774589,2787522993.0000
2019-02-19,sh.600519,740.9600,742.5000,726.6600,730.7600,2950150,2164408781.0000
2019-02-20,sh.600519,735.0000,735.0000,716.0600,722.0000,3788237,2742919644.0000
2019-02-21,sh.600519,720.0000,730.4800,717.0000,720.2500,2985040,2163554333.0000
2019-02-22,sh.600519,717.0000,728.4900,714.1000,726.0100,2590877,1867253930.0000
2019-02-25,sh.600519,730.7500,744.4400,717.9900,742.3300,8262259,6034261367.0000
2019-02-26,sh.600519,747.8000,749.1800,726.0000,727.3500,5796466,4265279124.0000
2019-02-27,sh.600519,733.0000,758.0200,731.0000,740.7000,6594227,4908445127.0000
2019-02-28,sh.600519,737.9000,763.4200,736.9500,755.0100,5698625,4289145218.0000
2019-03-01,sh.600519,761.5000,790.0000,761.0000,789.3000,6384023,4952509171.0000
2019-03-04,sh.600519,795.0000,798.3300,777.2200,781.8600,8458596,6661386571.0000
2019-03-05,sh.600519,785.0000,789.5500,775.8800,779.7800,4483056,3501155936.0000
2019-03-06,sh.600519,775.0000,779.5000,765.8800,768.0000,4673137,3602140487.0000
2019-03-07,sh.600519,762.2200,762.2200,745.5600,748.6000,6018053,4526351877.0000
2019-03-08,sh.600519,737.9000,746.8300,733.6500,737.5000,5227525,3868415483.0000
2019-03-11,sh.600519,740.0400,766.9500,740.0400,758.5400,5305724,4001728730.0000
2019-03-12,sh.600519,763.8200,763.8300,739.0000,745.0100,5251001,3946382127.0000
2019-03-13,sh.600519,745.5000,760.7500,745.5000,754.0000,4056136,3058080906.0000
2019-03-14,sh.600519,757.0000,785.0000,754.0000,778.0000,6217256,4808607656.0000
2019-03-15,sh.600519,776.0000,787.5000,764.8500,777.3000,5240071,4084798328.0000
2019-03-18,sh.600519,778.8000,814.5300,777.0000,810.0900,8131880,6499566987.0000
2019-03-19,sh.600519,803.0000,807.9200,792.3000,792.6100,4063493,3244967390.0000
2019-03-20,sh.600519,790.0000,802.3000,785.0000,792.8000,3111752,2470811128.0000
2019-03-21,sh.600519,788.0000,792.8000,781.5000,785.7500,3257328,2558222913.0000
2019-03-22,sh.600519,788.2200,799.9800,785.0000,794.0000,3051750,2420497823.0000
2019-03-25,sh.600519,786.0000,788.0000,773.3000,775.6000,3727046,2903744159.0000
2019-03-26,sh.600519,780.0000,785.9400,764.1000,773.0000,3759569,2914112997.0000
2019-03-27,sh.600519,781.0000,793.8800,775.0000,788.5000,4280739,3366132247.0000
2019-03-28,sh.600519,793.4300,814.4800,785.6800,806.8000,5756676,4615969704.0000
2019-03-29,sh.600519,835.0000,866.6800,830.1700,853.9900,9093396,7702154797.0000
2019-04-01,sh.600519,860.0000,868.9500,851.0000,859.0000,6093461,5228521999.0000
2019-04-02,sh.600519,859.9900,859.9900,836.0600,850.0000,5322705,4496538880.0000
2019-04-03,sh.600519,840.1200,851.7400,834.2100,844.5000,4305680,3629854319.0000
2019-04-04,sh.600519,840.0000,865.8000,836.2000,865.0000,5577236,4763897857.0000
2019-04-08,sh.600519,900.0000,908.0000,890.1200,900.2000,6625193,5944780639.0000
2019-04-09,sh.600519,903.0000,908.2000,892.5100,905.0000,4798980,4308645696.0000
