,time,code,O,H,L,C,volume,amount,r_1,r_5,r_10,k,rsi,x_1,x_2,y_5_pred,y_10_pred,y_pred
213,2019/6/4,sh.600519,895.0,895.43,871.0,875.3,3968948,3481384251,-0.004227122,0.035873415,0.064789215,44.33523562,41.82760685,-0.7945132649598621,-0.9494219743022776,0.010231964168465809,0.017570043979913318,0.0020507162535682204
214,2019/6/5,sh.600519,884.0,886.26,870.0,871.6,3406736,2988114670,-0.010865076,0.044056907,0.1186324,40.6755995,40.52117028,-0.9777029030351436,-1.0369317490254066,0.010430650281537397,0.017673189039540047,0.002093361177780574
215,2019/6/6,sh.600519,875.62,875.77,858.0,862.13,3478685,3009567792,0.010381265,0.059005022,0.132427824,35.3294771,37.17762068,-1.2453126312837968,-1.2608946102851826,0.010939145595539566,0.01793716712372436,0.0022025018912039942
216,2019/6/10,sh.600519,857.98,878.95,840.0,871.08,5550246,4790052574,0.045701887,0.046516967,0.133190981,35.53893545,42.24454427,-1.2348278185674044,-0.9214940208633732,0.01016855529177316,0.017537126166653916,0.002037106511552813
217,2019/6/11,sh.600519,876.0,915.61,875.0,910.89,8010644,7209086880,-0.004599897,0.006707725,0.079142377,43.52396082,58.85192577,-0.8351230775528137,0.19092754416221186,0.007642863532752661,0.016225949340777625,0.0014950055464572438
218,2019/6/12,sh.600519,906.22,910.99,894.0,906.7,3774740,3420899273,0.003639572,0.027914415,0.08068821,49.35609645,56.91415322,-0.5431850869348681,0.06112863680679183,0.007937564787155177,0.01637893929054058,0.001558258646862669
219,2019/6/13,sh.600519,910.0,912.3,897.0,910.0,3291742,2984741685,0.003296703,0.071428571,0.09489011,54.86364914,58.13550405,-0.26749467650093595,0.14293906560641298,0.007751818724405679,0.016282511873336927,0.0015183911058139327
220,2019/6/14,sh.600519,911.0,932.3,910.02,913.0,4245504,3905679105,-0.001533406,0.069331873,0.077765608,58.90136164,59.31500927,-0.0653797483295964,0.2219465264025801,0.007572436645787467,0.016189388227657794,0.0014798894962677644
221,2019/6/17,sh.600519,907.0,926.94,906.02,911.6,3276903,3001512189,0.005923650999999999,0.082821413,0.13192189599999998,62.01332322,58.45043749,0.09039506010801984,0.16403442914723895,0.007703922865925643,0.016257647422055342,0.0015081109950231461
222,2019/6/18,sh.600519,917.0,920.0,902.6,917.0,2944138,2687679912,0.016368593,0.07195201700000001,0.117775354,65.58170579,60.92208239,0.2690168383607833,0.3295940080516861,0.007328028980718331,0.016062507476924594,0.0014274311427741
223,2019/6/19,sh.600519,940.0,946.7,932.01,932.01,5372640,5051192622,0.046126115,0.051340651,0.059967168,69.02349272,67.05120893,0.4413016452007959,0.7401447344179497,0.006395896218423936,0.015578604058308519,0.0012273631541795786
224,2019/6/20,sh.600519,932.5,975.5,932.2,975.0,6727197,6468666073,0.001333333,0.021897436,0.006358974,74.12474332,78.11244568,0.6966538770902638,1.481065769835454,0.004713675905483592,0.01470530339425554,0.0008663003871608545
225,2019/6/21,sh.600519,969.97,984.49,964.5,976.3,4592675,4482726902,0.011062174,0.00788692,0.024090956,77.49258404,78.35959418,0.8652371739979346,1.4976206566587458,0.00467608894876171,0.014685790662176129,0.0008582329238842433
226,2019/6/24,sh.600519,978.3,999.69,975.0,987.1,4577920,4532526991,-0.004173843,0.04534495,-0.002269274,79.92981582,80.42538761,0.9872371742831474,1.6359948585412143,0.004361917961481765,0.014522693278493847,0.0007908009441894862
227,2019/6/25,sh.600519,992.0,999.0,967.0,982.98,5129595,5035624420,-0.0031740220000000003,0.042747564,-0.0070398180000000015,81.53084251,77.26017308,1.0673794316751106,1.4239775154637209,0.004843291635829701,0.014772591550576229,0.0008941204139955789
